action_type,created_at,content_id
clicked,2025-06-05T11:40:21,9bdfa679-7e25-44f4-accb-21886f10bab8
purchased,2025-06-25T12:28:50,bcc13275-eb20-476c-94ab-da12f7068f84
clicked,2025-06-20T05:59:03,812b308c-03c2-46dd-9fd0-33450875cdcf
clicked,2025-06-09T19:58:48,eca5c8db-7dd6-45d4-a7a7-a77d545db5f9
purchased,2025-06-18T11:56:23,4f347b8d-d1d1-4714-8dbc-902c878bd777
purchased,2025-06-04T14:44:13,02b5dc08-d8cc-4e76-af09-6976ca87e29f
purchased,2025-06-18T11:13:55,0d58fd4c-62e5-4514-a381-65bdd103e05c
clicked,2025-06-16T07:37:11,0d479939-5dc3-49b5-932d-45b9d35f6e8d
clicked,2025-06-15T16:58:54,8fbb9e3f-682b-4dd4-a272-e4e410c416a6
purchased,2025-06-03T03:45:24,b844eb0b-16b5-43cd-9f0a-b5928faebfe4
clicked,2025-06-20T21:30:56,b2291934-00e2-4271-9cf8-facaee33da46
purchased,2025-06-12T03:32:31,ad30e997-6e94-4558-8e72-ba7416d9507d
clicked,2025-06-28T18:07:25,6b1cfb12-dd07-4c75-9330-652841fc931f
clicked,2025-06-24T23:37:32,676a4141-9f16-4aa9-888e-5696101ea522
purchased,2025-06-02T13:23:11,da090897-5b0a-4f1f-8c1d-c06faaf8016b
purchased,2025-06-14T09:31:41,65f8a3a7-37b2-4e13-b6f2-00550ec04a62
purchased,2025-06-26T17:15:05,45d466c5-56fe-4d51-9cf2-08e956fef769
purchased,2025-06-17T16:50:18,7cbf9e7c-b1f3-4880-9232-5a1563d3e47f
purchased,2025-06-17T13:03:59,bfdf94ec-e5b7-447b-bf76-fd436dcafc7d
clicked,2025-06-02T12:02:52,54829a95-77c6-4a64-8b61-54627571b72c
purchased,2025-06-28T09:25:55,2f258c77-1cb1-4ccd-b6c2-0dcce2e265c4
clicked,2025-06-23T22:32:33,0d66a44e-f2c2-493e-9053-7b5b72b8e4f0
clicked,2025-06-18T23:49:52,e0505c9e-02f6-47db-8287-315b12e80117
purchased,2025-06-18T02:10:07,e5625819-43e0-49cf-8a62-cf5d9ea975bb
purchased,2025-06-04T20:15:51,d2009dd1-5bfd-49a2-a1de-2bace033a843
purchased,2025-06-17T02:28:47,446d97cf-5c96-4aa0-bef9-7ec5d2b098ad
purchased,2025-06-30T02:17:54,be6b9159-f5fe-48d7-82b5-7d1f6066e501
purchased,2025-06-23T01:20:52,a7e4d7f5-e2c4-483c-a673-a57319c62072
purchased,2025-06-09T18:25:27,4a4834de-ef35-47c4-a267-acc8fee4b196
clicked,2025-06-20T11:29:51,56133093-93e0-4959-a39b-a41b5594b907
clicked,2025-06-12T17:07:10,4b2c863f-9915-4362-80ff-d3198c87c395
purchased,2025-06-08T15:50:43,f759d3cb-a2bc-405c-a5cb-14e65a27c3de
clicked,2025-06-05T07:01:45,52d5fdd3-a1c7-4509-9062-badf0c043cb7
clicked,2025-06-05T15:39:39,fa16f642-c645-4a5d-af66-253f089202e9
purchased,2025-06-03T18:58:49,de63e03b-4eb3-42f1-a793-cc20e2d1254c
purchased,2025-06-16T12:49:53,34b2e1aa-dbcd-4950-889d-317969886b03
purchased,2025-06-29T23:45:15,27960d56-d80a-4caa-9df7-18a5c2aaeab6
purchased,2025-06-30T18:56:08,0ef51506-7487-4c4e-97d2-ccd9e697ca52
purchased,2025-06-15T04:21:30,abb5012b-05cb-466c-b5cf-ee072e404ff6
clicked,2025-06-10T07:00:45,0612779f-6bfb-4e01-9dbd-f41082f4079e
purchased,2025-06-06T19:56:57,0ec05e1c-bd2d-4649-9061-cae9a901dfe3
clicked,2025-06-10T02:35:19,bf597bc3-5633-4f24-b753-fa16882b70d1
clicked,2025-06-23T11:12:39,95e6a8aa-fe0b-4e96-97fc-2bee929f18bc
clicked,2025-06-29T02:30:42,2d3bccd6-bf57-4fc0-ad0b-9d71bccf7aba
purchased,2025-06-08T13:21:12,d2695d5c-31e9-4076-acac-e0d0b86fd053
clicked,2025-06-21T16:43:33,93345211-0d47-4e60-a624-33e003b2511c
purchased,2025-06-03T17:41:07,63c0bf9f-59d8-40f5-8d91-f0c445142da4
clicked,2025-06-14T10:14:22,adf683bb-4021-40df-ba01-9979802cde0e
clicked,2025-06-16T05:27:06,c38a9155-a272-46f3-9fde-103c3b04e619
clicked,2025-06-06T09:32:54,89174455-aaa4-4f8c-9cd0-38a8321cec6c
clicked,2025-06-27T19:50:06,7d0e105f-3103-462c-b3c1-b3d8dc5cfab8
clicked,2025-06-14T07:55:20,750f5cc4-2cdc-4a16-b6f8-1e550429a457
clicked,2025-06-22T11:48:33,3833f2e7-e07f-47ba-96ac-8a50a846c4bd
purchased,2025-06-22T10:08:33,bb923d7a-be75-4e5b-a3a6-c743f862480e
clicked,2025-06-18T00:14:20,0ca1beaa-407d-4c4c-a4e2-24a79195e989
purchased,2025-06-03T06:56:14,8bed5da7-e8e0-4712-8025-2bb4c8ca1793
purchased,2025-06-03T03:30:29,9b752391-448c-4da8-a211-140276bf509e
purchased,2025-06-12T11:39:30,b7c7493d-bb13-4ee0-9913-3b69d8456370
purchased,2025-06-12T02:32:41,039a681e-5011-485f-89de-6e6a033addc4
clicked,2025-06-07T16:32:13,2ad53986-34df-4aeb-8731-db6bb613d250
clicked,2025-06-20T02:17:22,297285cd-0b7c-4759-85d1-b542e02f2d24
clicked,2025-06-18T16:08:12,d1beb2d4-660c-4181-bc72-7e2ac3c06225
purchased,2025-06-11T19:14:19,ee080f01-1f73-40cd-be5c-17bbb888cdce
purchased,2025-06-15T08:05:14,f58b0871-9964-4520-bbcf-62d43c33260d
clicked,2025-06-22T02:45:19,7238467f-00dd-443d-b29a-47f60a5d67c3
purchased,2025-06-07T21:28:25,611a6acb-819d-4f69-9944-f0b2d28e78e8
clicked,2025-06-20T13:54:22,c708aeb9-3909-4b3a-bb9b-9547e18cce8f
purchased,2025-06-09T12:56:09,0a07ba84-6a7a-4a8f-a48b-5cb4a8d927b1
clicked,2025-06-29T14:53:19,dfcdab8d-75ae-4d02-bf0b-74d80af5dc52
clicked,2025-06-26T19:47:02,2b6c29e0-daf6-4191-8d9a-f8ee735951f1
purchased,2025-06-13T00:09:35,baeefa62-1a12-4955-9020-7e674a920a2e
clicked,2025-06-15T17:48:18,08812732-bb29-4f9c-aa36-b91459a5da0e
clicked,2025-06-20T02:27:29,899ec420-90df-4da5-bcb2-9f11cd9d6137
purchased,2025-06-09T11:12:05,37345885-6d04-4d8e-bad7-5912d196f47d
purchased,2025-06-30T19:31:54,c10bd313-9e49-41f2-a1d4-4a611cc1c76c
purchased,2025-06-14T19:28:13,d4aac0d3-120c-4a5d-b3eb-753972e0d73d
clicked,2025-06-17T13:08:00,5d32d4d2-f18f-4c40-a43d-f402aaf4fce8
purchased,2025-06-01T11:17:44,b443061d-3b06-4041-b3f6-eb46ad8d74bb
purchased,2025-06-23T16:08:06,76d5030b-e1ad-4ba8-9cc4-11a2a9c7902b
purchased,2025-06-16T15:44:23,ab8596da-538c-44a1-9d6f-ca8350631e02
clicked,2025-06-10T08:37:02,737028dc-b321-49e7-8618-f95922534bb9
clicked,2025-06-18T05:02:59,aafe9554-23e0-4382-bcc4-6f563eb17e82
purchased,2025-06-18T19:35:54,2c790c2a-f819-431d-a4c4-fa0d4cdbaa51
purchased,2025-06-24T08:34:55,ffe62239-d30a-4b19-ab3a-f2ccd324385e
clicked,2025-06-08T15:14:04,28ddd794-e0f3-4079-aab7-7ccf2eb9a1b2
purchased,2025-06-04T01:44:01,f9096ba6-50bb-4608-8063-c1483f3bf06c
clicked,2025-06-30T13:50:42,1ad44ba4-3b54-471b-bf75-8334f39a1a1d
purchased,2025-06-07T20:07:04,b19217ac-f063-41b1-a78b-f498d1b46ead
clicked,2025-06-13T16:46:22,a0006764-3e1b-40a7-96b8-816b7e98e4f0
clicked,2025-06-19T08:58:37,f216bbb3-e9da-42d7-b2a3-b56c84a75b2f
purchased,2025-06-17T10:21:23,41b54dba-0730-4594-a86d-1329950f5fa0
purchased,2025-06-15T11:39:41,cb74e74f-a6c7-4549-932c-c30e52251e26
purchased,2025-06-09T01:05:53,5a637c16-5789-4282-9f52-9817f869712b
clicked,2025-06-20T19:28:29,018b89a9-4c6c-4553-ac16-9e1b2d750354
clicked,2025-06-29T03:22:40,da86d9f8-4b39-45c1-a311-d437c01c0184
purchased,2025-06-16T14:35:48,968ffaff-4640-4aa4-bef1-6323dfdf9896
purchased,2025-06-17T23:24:56,84930c93-caae-43bc-933d-819f6cb1524e
clicked,2025-06-09T20:58:41,bc3f114b-3a65-4317-b84e-077ac164f3c3
clicked,2025-06-21T16:42:47,9d9f3c2f-b733-470f-b415-4fb37e2f7e1c
clicked,2025-06-09T10:10:24,61f28abd-1090-4907-9645-ceb514cc809e
purchased,2025-06-29T22:01:09,a627b1a1-78e4-4b0b-9abe-7d51a0b374a3
clicked,2025-06-03T01:54:40,091769a1-73d5-4a04-92ab-2c8635cfb5c6
purchased,2025-06-18T15:18:32,334b0589-7d6e-4236-a37e-68c16dfd009b
clicked,2025-06-22T04:32:20,7890cdc9-499c-45d0-a47e-27235999af15
purchased,2025-06-08T21:48:50,d79c3ffa-9713-42cd-b946-faf7d8c47cb6
purchased,2025-06-01T05:43:46,bdd46e8a-9b56-4661-b631-72b2d6855dd9
clicked,2025-06-20T16:06:59,4787cb99-3c28-44cd-a869-eb3718f970d7
purchased,2025-06-10T12:21:27,ca331518-b0ea-4c4d-b1eb-21c48587d096
clicked,2025-06-07T22:32:18,183dce42-4745-43e1-844a-9a6f7f5996b6
clicked,2025-06-16T05:43:57,23afe581-aab2-485f-8d83-f30a98a16374
purchased,2025-06-07T22:27:07,33ad53ff-8070-4e2c-aafe-6e23b746d994
clicked,2025-06-05T09:23:49,92dd71fc-bca0-412a-a416-ec30f083059e
purchased,2025-06-10T14:47:42,85e85187-7715-4f67-b7a6-3b6f4e60ce41
clicked,2025-06-15T21:46:24,b98c145f-f9ce-4b2e-8766-41740777310d
clicked,2025-06-12T13:25:09,be2e40d3-6f29-4d35-9ae0-8d622236e86e
clicked,2025-06-11T01:03:29,169781de-40ff-47b6-8f06-e2310671abb5
clicked,2025-06-28T22:26:27,19e76a04-d924-45b2-ac68-b8f5e3ca10db
clicked,2025-06-04T03:53:32,eb9cc3e9-4764-4c7a-993f-91142ec771c2
purchased,2025-06-23T12:44:32,dbadcfcf-34e1-4dc0-9f87-1316e1e239c4
purchased,2025-06-22T18:25:08,8ca87d03-6d30-4aa4-ac02-73e9bddb9d1f
purchased,2025-06-08T01:49:11,51c57af4-6789-45d0-bce6-4e0c251562e1
purchased,2025-06-01T17:38:35,4a2b7e56-2906-4a3a-9120-a4ea76c4d648
purchased,2025-06-16T03:51:11,dd2b17a5-2389-4cef-b273-7d255978ad62
clicked,2025-06-06T08:44:42,c84b14b0-85ec-4446-addc-ca2fe5cbc689
clicked,2025-06-19T14:23:08,6a7f6487-71a1-4542-98b7-28380d07b422
clicked,2025-06-08T15:59:25,ad2c4ba5-4fcf-4cfb-8a67-df04f7a0d2a2
purchased,2025-06-23T09:45:19,a3d3a5cd-c9fd-4d99-9d58-863caa01ff6d
purchased,2025-06-22T11:31:46,e9925c29-2adf-4ea0-8dd3-098ac18be02b
purchased,2025-06-05T13:36:17,f2a27172-f8c0-4e17-9e80-34a936b4cb7d
clicked,2025-06-01T08:04:19,162d5898-c755-427b-9460-834a2c0cea55
purchased,2025-06-08T05:37:56,613f122f-ef61-47bf-be7e-2d570082f19c
clicked,2025-06-10T13:12:47,b9bbddec-c0c9-4013-989b-4345159a2182
clicked,2025-06-16T05:23:01,034c760e-bdb7-4c90-8aad-ca2ed475a181
purchased,2025-06-26T19:58:12,3f4a53d9-6b59-4068-bdae-f3ff521b6bf3
clicked,2025-06-14T13:03:28,2d77fc34-820c-4555-9da7-f7bd83ed6800
purchased,2025-06-11T11:03:25,5b637138-855b-4ce5-be07-304da460439e
clicked,2025-06-04T17:17:32,dcb7aee3-5a85-49b9-adb5-b7de400503fe
purchased,2025-06-16T07:41:52,12851235-5aec-40af-8073-3c01748482f5
purchased,2025-06-05T20:41:08,68fc50d6-492b-431e-aafa-a5de54ccf7e9
clicked,2025-06-26T15:11:34,e25409bb-48ba-445f-a8bb-ad4148e3746f
clicked,2025-06-24T08:00:19,a10de7af-97d9-485a-bb00-2c487fae9109
clicked,2025-06-15T00:55:41,005f589d-8a0e-4e41-a99b-fef81da390fc
